id,name,country,population_size,age,status,academic_reputation_score,academic_reputation_rank,employer_reputation_score,employer_reputation_rank,faculty_student_score,faculty_student_rank,citation_score,citation_rank,international_faculty_score,international_faculty_rank,international_student_score,international_student_rank,overall_score,city,region,cost_of_living_index,international_student_percentage,field_of_study,subject,program_name,min_IELTS,min_TOEFL,min_GPA,campus_setting,offer_work_study_program,average_tuition_fee,offer_airport_pickup,acceptance_rate
55,UNIVERSITY OF GLASGOW,United Kingdom,L,5,A,70.4,80,59.6,127,60.7,250,57.2,180,94.3,134,96.7,68,67.4,Glasgow,UK/Europe,65.85,0.36,Arts & Design,"Art, Performing Arts & Design",,7,,no minimum,Urban,1,20433,,
56,UNIVERSITY OF GLASGOW,United Kingdom,L,5,A,70.4,80,59.6,127,60.7,250,57.2,180,94.3,134,96.7,68,67.4,Glasgow,UK/Europe,65.85,0.36,Engineering,Civil Engineering,,7,,no minimum,Urban,1,20433,,
57,UNIVERSITY OF GLASGOW,United Kingdom,L,5,A,70.4,80,59.6,127,60.7,250,57.2,180,94.3,134,96.7,68,67.4,Glasgow,UK/Europe,65.85,0.36,Sciences,Computer Science,,7,,no minimum,Urban,1,20433,,
58,UNIVERSITY OF LEEDS,United Kingdom,XL,5,A,67.1,89,83.8,62,49.9,305,41.7,313,84.6,191,81.6,141,62,Leeds,UK/Europe,64.83,0.26,Engineering,Electrical & Electronic Engineering,,6,92,no minimum,Urban,1,11560,,
59,UNIVERSITY OF LEEDS,United Kingdom,XL,5,A,67.1,89,83.8,62,49.9,305,41.7,313,84.6,191,81.6,141,62,Leeds,UK/Europe,64.83,0.26,Engineering,Mechanical & Aerospace Engineering,,6,92,no minimum,Urban,1,11560,,
60,UNIVERSITY OF OSLO,Norway,L,5,A,49.2,151,26.1,373,69.9,198,47.8,253,82.6,199,36.5,375,51.9,Oslo,UK/Europe,101.66,0.17,Sciences,Geography,,5,,no minimum,Urban,0,74,,
61,UNIVERSITY OF OSLO,Norway,L,5,A,49.2,151,26.1,373,69.9,198,47.8,253,82.6,199,36.5,375,51.9,Oslo,UK/Europe,101.66,0.17,Arts & Social Sciences,Law,,5,,no minimum,Urban,0,74,,
62,UNIVERSITY OF OSLO,Norway,L,5,A,49.2,151,26.1,373,69.9,198,47.8,253,82.6,199,36.5,375,51.9,Oslo,UK/Europe,101.66,0.17,Sciences,Mathematics & Statistics,,5,,no minimum,Urban,0,74,,
63,UNIVERSITY OF SUSSEX,United Kingdom,L,4,A,29,285,12.6,500,29.7,503,60.4,154,96.9,113,98,52,40.7,Brighton,UK/Europe,75.48,0.38,Business & Management Studies,Accounting & Finance,,6.5,,no minimum,Urban,1,11560,,
64,UNIVERSITY OF SUSSEX,United Kingdom,L,4,A,29,285,12.6,500,29.7,503,60.4,154,96.9,113,98,52,40.7,Brighton,UK/Europe,75.48,0.38,Sciences,Computer Science,,6.5,,no minimum,Urban,1,11560,,
65,UNIVERSITY OF ZURICH,Switzerland,L,5,A,55.6,130,70.8,96,99,44,31.8,410,100,46,59.2,247,63.6,Zurich,UK/Europe,128.29,0.21,Business & Management Studies,Accounting & Finance,,7,,no minimum,Urban,1,1260,,
66,UNIVERSITY OF ZURICH,Switzerland,L,5,A,55.6,130,70.8,96,99,44,31.8,410,100,46,59.2,247,63.6,Zurich,UK/Europe,128.29,0.21,Business & Management Studies,Business & Management,,7,,no minimum,,1,1260,,
67,UPPSALA UNIVERSITY,Sweden,L,5,A,63.3,101,37.1,250,47.3,325,58.9,169,62.2,278,45.3,311,55.8,Uppsala,UK/Europe,75.57,0.15,Business & Management Studies,Accounting & Finance,,6.5,,no minimum,,1,10988,,
68,UPPSALA UNIVERSITY,Sweden,L,5,A,63.3,101,37.1,250,47.3,325,58.9,169,62.2,278,45.3,311,55.8,Uppsala,UK/Europe,75.57,0.15,Business & Economics,Communication & Media Studies,,6.5,,no minimum,,1,10988,,
69,UPPSALA UNIVERSITY,Sweden,L,5,A,63.3,101,37.1,250,47.3,325,58.9,169,62.2,278,45.3,311,55.8,Uppsala,UK/Europe,75.57,0.15,Medicine,Medicine & Dentistry,,6.5,,no minimum,,1,10988,,
70,Boston University,United States,L,5,B,62.4,105,66,106,70.8,192,51.9,215,28.6,461,87,119,62,Boston,United States,91.36,0.25,Arts & Social Sciences,Linguistics,Bachelor of Science [B.Sc] Early Childhood Education,7,90,no minimum,Urban,0,81000,,
71,Boston University,United States,L,5,B,62.4,105,66,106,70.8,192,51.9,215,28.6,461,87,119,62,Boston,United States,91.36,0.25,Life Sciences,Nutritional Science,Bachelor of Science [B.Sc] Nutritional Science,7,90,no minimum,Urban,0,81000,,
72,Brandeis University,United States,M,4,B,12.1,500,20.6,454,31.8,480,41.7,312,20.2,532,82.8,135,26.8,Boston,United States,91.36,0.25,Arts & Social Sciences,Law,Bachelor of Arts [B.A] Politics,6.5,78,3.0/4,Urban,1,77000,,
73,Brandeis University,United States,M,4,B,12.1,500,20.6,454,31.8,480,41.7,312,20.2,532,82.8,135,26.8,Boston,United States,91.36,0.25,Arts & Social Sciences,Linguistics,Bachelor of Arts [B.A] Language and Linguistics,6.5,78,3.0/4,Urban,1,77000,,
74,California Institute of Technology,United States,L,5,B,99.6,13,90.7,47,97.4,48,83.6,54,74.2,229,82.5,136,93.2,California,United States,88.82,0.27,Business & Management Studies,Business Study,"Bachelor of Science in Business, Economics, and Management",,110,no minimum,Suburban,1,78000,,
75,California Institute of Technology,United States,L,5,B,99.6,13,90.7,47,97.4,48,83.6,54,74.2,229,82.5,136,93.2,California,United States,88.82,0.27,Engineering,Computer Science ,Bachelor of Science in Computer Science,,110,no minimum,Suburban,1,78000,,
76,Clark University,United States,S,5,B,5,500,2.7,500,36,421,54.7,196,17.9,564,79.5,149,25.3,Boston,United States,91.36,0.26,Business & Management Studies,Business Study,Bachelor Management,6.5,86,2.5/4,Urban,1,70000,,
77,Clark University,United States,S,5,B,5,500,2.7,500,36,421,54.7,196,17.9,564,79.5,149,25.3,Boston,United States,91.36,0.26,Engineering,Chemical Engineering,Bachelor Chemistry,6.5,85,2.5/4,Urban,1,70000,,
78,Cornell University,United States,L,5,B,98.7,20,90.5,48,70.4,195,95.9,22,93.3,142,77,160,90.5,New York,United States,52.38,0.24,Arts & Social Science,Economics,Bachelor Economics,7,100,3.2/4,Urban,0,76000,,
79,Cornell University,United States,L,5,B,98.7,20,90.5,48,70.4,195,95.9,22,93.3,142,77,160,90.5,New York,United States,52.38,0.24,Medicine,Health Sciences,Bachelor Psychology,7,100,3.2/4,Urban,0,76000,,
80,Duke University,United States,L,5,B,88.2,46,74.7,87,99.3,37,88.2,41,14.3,600,55,260,83.9,Charlotte,United States,72.4,0.22,Arts & Social Science,Geograph,Bachelor of Science [B.Sc] Earth and Ocean Science,7,90,3.0/4,Urban,0,77000,,
81,Duke University,United States,L,5,B,88.2,46,74.7,87,99.3,37,88.2,41,14.3,600,55,260,83.9,Charlotte,United States,72.4,0.22,Medicine,Health Sciences,Bachelor of Science [B.Sc] Biology - Pharmacology,7,90,3.0/4,Urban,0,77000,,
82,Georgia Institute of Technology,United States,L,5,A,73.5,75,74.6,88,23.5,597,100,6,42.4,364,70.9,187,67.4,Georgia,United States,72.4,0.27,Engineering,Civil & Structure Engineering,Bachelor of Science in Architecture,,90,3.3/4,Urban,1,44000,,
83,Georgia Institute of Technology,United States,L,5,A,73.5,75,74.6,88,23.5,597,100,6,42.4,364,70.9,187,67.4,Georgia,United States,72.4,0.27,Engineering,Mechanical Engineering,Bachelor of Science in Aerospace Engineering,,90,3.3/4,Urban,1,44000,,
84,Harvard University,United States,L,5,B,100,1,100,1,99.3,40,99.8,9,92.1,151,75.7,164,98.5,Boston,United States,91.36,0.26,Engineering,Chemical Engineering,Bachelor Chemical and Physical Biology,7.5,104,3.7/4,Urban,1,67000,,
85,Harvard University,United States,L,5,B,100,1,100,1,99.3,40,99.8,9,92.1,151,75.7,164,98.5,Boston,United States,91.36,0.26,Engineering,Mechanical Engineering,Bachelor of Science [B.S] Mechanical Engineering,7.5,104,3.7/4,Urban,1,18000,,
86,Johns Hopkins University,United States,L,5,B,89.7,40,56.9,136,100,13,80.2,61,79.9,209,81.6,140,85.9,Baltimore,United States,91.36,0.24,Engineering,Electrical Engineering,Bachelor of Science [B.Sc] Electrical Engineering,7,99,3.0/4,Urban,1,78000,,
87,Johns Hopkins University,United States,L,5,B,89.7,40,56.9,136,100,13,80.2,61,79.9,209,81.6,140,85.9,Baltimore,United States,91.36,0.24,Engineering,Engineering,Bachelor Engineering,7,99,3.0/4,Urban,1,78000,,
88,New York University,United States,XL,5,B,95.6,31,91.3,46,97.3,50,23.7,498,28.4,463,90.9,101,77.7,New York,United States,52.38,0.26,Life Sciences,Mathematics,Bachelor of Science [B.Sc] Physics and Mathematics,7.5,100,3.59/4,Urban,1,80000,,
89,New York University,United States,XL,5,B,95.6,31,91.3,46,97.3,50,23.7,498,28.4,463,90.9,101,77.7,New York,United States,52.38,0.26,Arts & Design,Performing Arts,Bachelor of Science [B.Sc]/Bachelor of Fine Arts [B.F.A] Business/Film Television,7.5,100,3.59/4,Urban,1,80000,,
90,Princeton University,United States,M,5,B,99.9,10,96.7,25,70.3,197,100,4,70.1,248,69.2,196,90.9,New York,United States,52.38,0.24,Engineering,Mechanical Engineering,Bachelor of Science [B.Sc] Mechanical and Aerospace Engineering,8,108,3.5/4,Urban,1,67000,,
91,Princeton University,United States,M,5,B,99.9,10,96.7,25,70.3,197,100,4,70.1,248,69.2,196,90.9,New York,United States,52.38,0.24,Arts & Design,Performing Arts,Bachelor of Arts [B.A] Music,8,108,3.5/4,Urban,1,67000,,
92,Purdue University,United States,XL,5,A,65.7,92,60.7,124,35.2,431,58.3,176,97.5,104,69.2,195,59.5,Indianapolis,United States,66.34,0.23,Arts & Design,Graphic Design,Bachelor of Arts [B.A] Visual Arts Design Education,7.5,100,3.0/4,Urban,0,47000,,
93,Purdue University,United States,XL,5,A,65.7,92,60.7,124,35.2,431,58.3,176,97.5,104,69.2,195,59.5,Indianapolis,United States,66.34,0.23,Medicine,Health Sciences,Bachelor of Science [B.Sc] Radiological Health Sciences,7.5,100,3.0/4,Urban,0,47000,,
94,Stanford University,United States,L,5,B,100,5,100,5,100,16,99,13,99.8,56,70.5,190,98.6,California,United States,88.82,0.22,Arts & Social Science,Geograph,Bachelor of Science [B.Sc] Geological Sciences,7,100,no minimum,Urban,1,76000,,
95,Stanford University,United States,L,5,B,100,5,100,5,100,16,99,13,99.8,56,70.5,190,98.6,California,United States,88.82,0.22,Arts & Social Sciences,Law,Bachelor International Security Studies,7,100,no minimum,Urban,1,73000,,
96,Stony Brook University,United States,L,4,A,22.1,373,7.2,500,39.8,388,39.6,329,30.5,449,82.4,137,31.2,New York,United States,52.38,0.24,Engineering,Civil & Structure Engineering,Bachelor of Engineering [B.Eng] Civil Engineering,6,90,3.0/4,Urban,1,41000,,
97,Stony Brook University,United States,L,4,A,22.1,373,7.2,500,39.8,388,39.6,329,30.5,449,82.4,137,31.2,New York,United States,52.38,0.24,Arts & Social Science,Geograph,Bachelor of Science [B.Sc] Geology,6,90,3.0/4,Urban,1,41000,,
98,University of Chicago,United States,L,5,B,99.6,13,90.7,47,97.4,48,83.6,54,74.2,229,82.5,136,93.2,Chicago,United States,72.4,0.25,Arts & Social Sciences,Linguistics,Bachelor of Arts [B.A] Linguistics,7,104,no minimum,Urban,0,81000,,
99,University of Chicago,United States,L,5,B,99.6,13,90.7,47,97.4,48,83.6,54,74.2,229,82.5,136,93.2,Chicago,United States,72.4,0.25,Medicine,Medicine,Bachelor of Arts [B.A] Psychology,7,104,no minimum,Urban,0,81000,,
100,University of Illinois at Urbana-Champaign,United States,XL,5,A,89.1,42,53.6,151,15.9,600,90.7,32,20.7,522,70,191,67,Chicago,United States,72.4,0.23,Business & Management Studies,Accounting & Finance,Bachelor of Science [B.Sc] Accountancy,6,99,3.0/4,Urban,1,64000,,
101,University of Illinois at Urbana-Champaign,United States,XL,5,A,89.1,42,53.6,151,15.9,600,90.7,32,20.7,522,70,191,67,Chicago,United States,72.4,0.23,Life Sciences,Health Sciences,Bachelor of Science [B.Sc] Speech and Hearing Science,6,99,3.0/4,Urban,1,64000,,
102,University of Southern California,United States,XL,5,B,57,123,51.4,162,40.4,380,66.9,116,45.5,349,87.1,118,56.2,California,United States,88.82,0.23,Business & Management Studies,Accounting & Finance,Bachelor of Science [B.Sc] Accounting,6.5,80,3.0/4,Urban,0,40000,,
103,University of Southern California,United States,XL,5,B,57,123,51.4,162,40.4,380,66.9,116,45.5,349,87.1,118,56.2,California,United States,88.82,0.23,Arts & Social Sciences,Law,"Bachelor of Arts [B.A] Law, History, and Culture",6.5,80,3.0/4,Urban,0,40000,,
104,University of Texas at Dallas,United States,L,3,A,15.9,500,13.4,500,9.1,600,60.4,155,28.8,460,75.7,165,26.9,Dallas,United States,72.4,0.25,Business & Management Studies,Accounting & Finance,Bachelor of Science [B.Sc] Accounting,6,61,3.0/4,Urban,1,75000,,
105,University of Texas at Dallas,United States,L,3,A,15.9,500,13.4,500,9.1,600,60.4,155,28.8,460,75.7,165,26.9,Dallas,United States,72.4,0.25,Arts & Social Sciences,Linguistics,Bachelor of Arts [B.A] Historical Studies,6,61,3.0/4,Urban,1,75000,,
106,University of Tulsa,United States,S,5,B,,,,,39.7,390,,,,,75.6,166,16,Tulsa,United States,52.38,0.25,Business & Management Studies,Accounting & Finance,Bachelor of Arts [B.A] Finance,6,80,3.4/4,Urban,0,60000,,
107,University of Tulsa,United States,S,5,B,,,,,39.7,390,,,,,75.6,166,16,Tulsa,United States,52.38,0.25,Medicine,Health Sciences,Bachelor of Science [B.Sc] Nursing,6,80,3.4/4,Urban,0,60000,,
108,Yale University,United States,L,5,B,99.9,9,99.7,11,100,5,60.2,156,86.3,186,61.2,236,89.6,New York,United States,52.38,0.21,Arts & Design,Civil & Structure Engineering,Bachelor of Arts [B.A] Architecture,7,100,3.7/4,Urban,1,80000,,
109,Yale University,United States,L,5,B,99.9,9,99.7,11,100,5,60.2,156,86.3,186,61.2,236,89.6,New York,United States,52.38,0.21,Arts & Social Sciences,Linguistics,Bachelor of Science [B.Sc] English Language and Literature,7,100,3.7/4,Urban,1,80000,,